a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60
0.056,12.2802173638156,12.2662650600267,12.2506300318324,12.2332181891238,12.2139374931502,12.1926986288181,12.1694156639664,12.144006689643,12.1163944355575,12.0865068550885,12.05427767449
0.058,12.3094241273118,12.2960412243879,12.2810290486886,12.264296385928,12.2457539032917,12.2253147909877,12.2028953915425,12.1784158112697,12.1518005084864,12.1229788532491,12.0918856536323
0.06,12.3385114462361,12.3256645116756,12.3112382763791,12.2951442529579,12.2772956819191,12.2576081449112,12.2360001663809,12.2123937984318,12.1867151838192,12.1588950922066,12.1288694250498
0.062,12.3675017910465,12.3551606179556,12.3412869576556,12.3257949121018,12.3086001718452,12.2896206031538,12.2687768241272,12.2459927649198,12.2211962073326,12.1943192992196,12.1652990393813
0.064,12.3964149338255,12.3845521448644,12.371200806403,12.3562774825034,12.3397001990675,12.3213890067902,12.3012665336142,12.2792585220973,12.255294347248,12.2293075105627,12.2012361062177
0.066,12.4252683550546,12.413859065441,12.4010025380904,12.3866176813023,12.370624749526,12.3529458839033,12.33350564276,12.3122315177264,12.2890544313076,12.2639092119042,12.2367350424854
0.068,12.4540775791237,12.4430991084337,12.4307123074983,12.4168383195037,12.4013995278913,12.3843200760761,12.3655263775075,12.3449476119993,12.3225162043931,12.2981682817935,12.2718441058126
0.07,12.4828564527318,12.4722880772595,12.460348072101,12.4469597137347,12.4320474217008,12.4155372589281,12.3973574227547,12.3774387227892,12.3557150419033,12.3321237768107,12.3066062548833
0.072,12.5116173772079,12.5014401162229,12.4899258954299,12.4770000300774,12.4625888890352,12.4466203770303,12.4290244078883,12.4097333651307,12.3886825464246,12.3658105885393,12.3410598696559
0.074,12.5403715034141,12.5305679338998,12.5194602016773,12.5069755727027,12.4930422840409,12.4775900091941,12.460550314712,12.4418571046244,12.4214470493798,12.3992599961288,12.3752393573772
0.076,12.569128896081,12.5596829915177,12.5489639904474,12.5369010273778,12.523424131623,12.5084646768023,12.491955821867,12.4738329403735,12.454034034856,12.4325001333105,12.4091756649758
0.078,12.5978986730254,12.5887956625712,12.5784490187476,12.5667896678695,12.5537493603361,12.539261105284,12.5232595969913,12.5056816299102,12.4864664993434,12.4655563849311,12.4428967142873
0.08,12.6266891236237,12.6179153686721,12.6079259559102,12.5966535316798,12.5840315007119,12.5699944468364,12.554478545642,12.5374219661143,12.5187652584143,12.4984517251102,12.4764277733411
0.082,12.6555078100579,12.6470506956632,12.6374045160283,12.6265035703019,12.6142828548673,12.6006784709354,12.5856280242685,12.5690710142013,12.5509492092576,12.5312070068127,12.5097917744063
0.084,12.6843616541923,12.6762094932655,12.6668935716265,12.6563497782076,12.6445146421306,12.6313257279438,12.6167220231532,12.6006443153424,12.5830355563088,12.5638412107883,12.5430095874984
0.086,12.7132570124049,12.7053989609199,12.6964012515979,12.6862013039989,12.6747371245542,12.6619476901495,12.6477733241487,12.6321560622743,12.6150400058913,12.5963716603828,12.5761002564592
0.088,12.7421997402814,12.7346257220078,12.7259350258933,12.7160665465376,12.7049597154821,12.6925548737855,12.6787936371739,12.663619251294,12.6469769347263,12.6288142075571,12.6090812034543
0.09,12.7711952487386,12.7638958882468,12.7555017790086,12.7459532383727,12.7351910737861,12.7231569449603,12.7097937187339,12.695045814265,12.6788595363147,12.6611833945216,12.6419684067103
0.092,12.8002485528758,12.7932151157474,12.7851078739626,12.7758685183803,12.7654391859298,12.753762811922,12.7407834751683,12.7264467336374,12.710699948512,12.6934925946363,12.6747765554928
0.094,12.8293643146321,12.8225886539658,12.8147592081739,12.805818995214,12.7957114376596,12.7843807056717,12.771772052877,12.7578321429794,12.7425093650556,12.7257541356163,12.7075191856563
0.096,12.8585468801473,12.8520213885827,12.8444612624085,12.8358108028927,12.8260146768214,12.8150182506084,12.8027679174024,12.7892114151082,12.7742981333554,12.7579794075845,12.7402087985492
0.098,12.8878003125808,12.8815178791717,12.8742191437834,12.8658496496432,12.8563552685599,12.8456825266161,12.8337789229422,12.8205932395699,12.8060758404816,12.7901789581029,12.7728569656139
0.1,12.9171284210205,12.9110823923814,12.9040376236518,12.8959408609336,12.8867391439593,12.876380123781,12.8648123736187,12.8519856909423,12.8378513889806,12.8223625759788,12.8054744206512
0.102,12.9465347860163,12.9407189312459,12.9339211710695,12.9260894174907,12.9171718430182,12.9071171907398,12.8958750776251,12.8833962892057,12.8696330638987,12.8545393653647,12.8380711414152
0.104,12.9760227821914,12.9704312611401,12.963873982433,12.9562999889702,12.9476585527143,12.9378994775099,12.9269733951974,12.9148320532371,12.90142859218,12.8867178114407,12.8706564219524
0.106,13.0055955983137,13.0002229328221,12.9939000077918,12.9865769638526,12.9782041408045,12.9687323735237,12.9581132812195,12.9462995483266,12.9332451954353,12.9189058387742,12.9032389368884
0.108,13.0352562551573,13.0300973029377,13.0240029742649,13.0169244760479,13.0088131859071,12.9996209414836,12.9893003231511,12.9778049284826,12.9650896369296,12.9511108632947,12.9358267986917
0.11,13.0650076214339,13.0600575523099,13.0541864069266,13.0473464286285,13.0394900043379,13.0305699475646,13.0205397748678,13.0093539741806,12.9969682635152,12.9833398386853,12.9684276087927
0.112,13.0948524280328,13.0901067022867,13.0844536474769,13.0778465150443,13.0702386741007,13.0615838884186,13.0518365869189,13.0409521261217,13.0288870431366,13.0155992978794,13.0010485033175
0.114,13.1247932807789,13.1202476293869,13.1148078709675,13.1084282381293,13.1010630563819,13.0926670153689,13.0831954336406,13.0726045154841,13.0608515984419,13.0478953902558,13.0336961940868
0.116,13.1548326718851,13.1504830784476,13.1452521008166,13.1390949271639,13.1319668148464,13.1238233561318,13.1146207374989,13.1043159910866,13.092867236969,13.0802339150462,13.0663770054441
0.118,13.1849729902545,13.1808156744498,13.1757892223143,13.1698497532218,13.1629534329951,13.1550567343572,13.1461166909905,13.1360911438284,13.1249389783049,13.1126203513973,13.099096907401
0.12,13.2152165307657,13.211247933177,13.2064219947947,13.2006957430026,13.1940262298082,13.1863707872395,13.1776872763809,13.1679343287187,13.1570715785704,13.1450598854744,13.1318615455239
0.122,13.2455655026578,13.2417822708394,13.2371530626258,13.2316357913198,13.2251883738697,13.2177689814202,13.2093362835295,13.1998496847704,13.1892695525319,13.1775574349415,13.1646762679307
0.124,13.2760220371168,13.2724210127803,13.2679849651516,13.2626726723985,13.2564428961447,13.249254627372,13.2410673260131,13.2318411529973,13.2215371936076,13.2101176711107,13.1975461497198
0.126,13.306588194151,13.3031664013664,13.2989201457014,13.2938090501122,13.2877927015568,13.2808308924343,13.2728838557377,13.2639124927231,13.2538785919968,13.2427450390176,13.2304760151136
0.128,13.3372659688341,13.3340206031515,13.3299609597682,13.3250474872752,13.3192405794969,13.312500812644,13.3047891762003,13.2960672963861,13.2862976511388,13.2754437756457,13.2634704575625
0.13,13.3680572969833,13.3649857153905,13.3611096824454,13.3563904540919,13.3507892133785,13.344267303493,13.336786454548,13.3283090029995,13.3187981026777,13.3082179264987,13.2965338580269
0.132,13.3989640603322,13.3960637719736,13.3923685152005,13.3878403358513,13.3824411893388,13.3761331697241,13.3688787325581,13.3606409104088,13.3513835200897,13.341071360693,13.3296704016288
0.134,13.4299880912524,13.4272567488409,13.423739592054,13.4193994399465,13.4141990041754,13.4081011142653,13.4010689366535,13.3930661864719,13.3840573311138,13.3740077847236,13.3628840928403
0.136,13.4611311770681,13.4585665689301,13.4552249852262,13.4510700022874,13.4460650725973,13.440173746392,13.4333598870508,13.4255878792706,13.4168228291052,13.4070307550394,13.3961787693586
0.138,13.4923950640069,13.4899951067057,13.486826710304,13.4828541931685,13.4780417338579,13.4723535891932,13.4657543061292,13.4582089264528,13.4496831834218,13.4401436895462,13.4295581147991
0.14,13.5237814608227,13.5215441923108,13.5185467309768,13.5147541226462,13.5101312578331,13.5046430864121,13.4982548260973,13.4909321637898,13.4826414489389,13.4733498781451,13.4630256703241
0.142,13.5552920421225,13.553215615379,13.5503869633837,13.5467718454733,13.5423358505993,13.5370446087232,13.5308639960265,13.5237603330273,13.5157005747772,13.5066524923995,13.4965848453098
0.144,13.5869284514263,13.5850111285394,13.5823492801091,13.5789093656347,13.5746576595574,13.569560459498,13.5635842883137,13.5566960890971,13.5488634123209,13.5400545944151,13.5302389271456
0.146,13.618692303986,13.6169324506439,13.614435513862,13.6111686405215,13.6070987781496,13.6021928801115,13.5964181046253,13.5897420067519,13.5821327225928,13.5735591450079,13.5639910902475
0.148,13.6505851893861,13.6489812697438,13.6466474608666,13.6435515847781,13.6396612502048,13.6349440548302,13.6293677813736,13.6229005866753,13.6155111830469,13.6071690112272,13.5978444043584
