a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60,T_65,T_70
0.136,10.7444355208191,9.78851161337552,8.94669709611513,8.20258176924737,7.54247009855644,6.95487874579658,6.43013623774915,5.96006227878206,5.53770952485216,5.15715461505743,4.81332825455919,4.50187641548418,4.21904645577148
0.138,10.7866516663165,9.82789673312762,8.98353438296086,8.23711912734723,7.57492530699265,6.9854437646423,6.45898081467691,5.9873369824477,5.56354830637874,5.18167697934359,4.83664110763561,4.52407564182202,4.2402182696085
0.14,10.8286553261383,9.8670906997637,9.02019947564965,8.27150119295193,7.60724033518426,7.01588215385781,6.48771094535379,6.01450822252404,5.58929354938754,5.20611479602621,4.85987757665351,4.54620591294866,4.26132790304224
0.142,10.8704608639558,9.90610681582854,9.05670472850254,8.30573947044999,7.63942592346446,7.04620396500899,6.51633605879929,6.04158486391299,5.61495360637157,5.23047595108315,4.88304512192131,4.56827429995275,4.2823820705518
0.144,10.912081984545,9.94495777892461,9.09306193902911,8.33984495049209,7.67149233709331,7.07641880939648,6.54486517519077,6.06857539111743,5.64053647523667,5.25476799938679,4.90615089405436,4.59028758380011,4.30338721441922
0.146,10.953531775257,9.98365571977193,9.12928238295263,8.37382814230662,7.70344939614691,7.10653588576598,6.57330693161167,6.09548793221819,5.66604982167532,5.27899818562344,4.92920175357217,4.61225227372592,4.32434952202135
0.148,10.9948227444587,10.0222122374959,9.16537684669086,8.40769910367428,7.73530650324749,7.13656400602243,6.60166960595031,6.12233028113373,5.69150099994281,5.30317346372362,4.9522042891046,4.63417462432564,4.34527494190226
0.15,11.0359668572011,10.0606384323767,9.20135565750708,8.44146746875851,7.7670726693154,7.16651161911519,6.62996113910383,6.14910991830589,5.71689707216876,5.32730051492668,4.97516483432275,4.65606065145251,4.36616919872712
0.152,11.0769755683468,10.0989449362722,9.23722871152482,8.47514247396974,7.79875653750705,7.19638683324563,6.65818915562711,6.17583402994147,5.74224482632461,5.35138576459225,4.99808948369902,4.67791614701947,4.38703780720903
0.154,11.1178598533657,10.1371419409054,9.27300549978221,8.50873298202484,7.83036640548735,7.22619743653412,6.68636098295373,6.20250952592717,5.76755079295634,5.37543539786011,5.02098410719129,4.69974669279413,4.40788608509191
0.156,11.1586302369903,10.175239224191,9.30869513248511,8.54224750434825,7.86191024617148,7.2559509162711,6.71448366930414,6.22914305652501,5.79282126078182,5.39945537425116,5.04385436393769,4.72155767326757,4.42871916526495
0.158,11.1992968199017,10.2132461747592,9.34430636160397,8.57569422194774,7.89339572705872,7.28565447686549,6.74256400038594,6.25574102794521,5.81806229124311,5.42345144129352,5.06670571504033,4.74335428767025,4.4495420070774
0.16,11.2398693036053,10.2511718148188,9.37984760194582,8.6090810048858,7.92483022826969,7.31531505659321,6.77060851498137,6.28230961688523,5.84327973209602,5.44742914725044,5.08954343550954,4.76514156120216,4.47035940691638
0.162,11.2803570136371,10.289024821492,9.41532695082145,8.64241543045702,7.9562208593886,7.34493934323987,6.79862351950928,6.30885478411535,5.86847923011181,5.47139385301991,5.11237262543395,4.78692435553782,4.49117600810474
0.164,11.3207689212324,10.326813546739,9.45075220641682,8.67570480017161,7.9875744752032,7.37453378872312,6.82661510164048,6.33538228718454,5.89366624295957,5.49535074326966,5.13519822043579,4.80870737866229,4.51199631017133
0.166,11.3611136635742,10.3645460359818,9.48613088496845,8.70895615563693,8.01889769042679,7.40410462277267,6.85458914303895,6.36189769231374,5.91884605033166,5.51930483686584,5.15802500146591,4.83049519408858,4.53282467754122
0.168,11.4013995627309,10.4022300455247,9.52147023683366,8.74217629342069,8.05019689347961,7.43365786573956,6.88255133129518,6.38840638553792,5.94402376436943,5.54326099664866,5.18085760398825,4.85229222950351,4.5536653476896
0.17,11.4416346433816,10.4398730588641,9.55677726153909,8.77537177897234,8.08147825940014,7.46319934059972,6.91050717111191,6.41491358315307,5.96920433944139,5.56722393860373,5.20370052659928,4.87410278488428,4.57452243879936
0.172,11.4818266494195,10.4774823019701,9.59205872188333,8.80854895967275,8.11274776195112,7.49273468421187,6.93846199479783,6.44142434151981,5.99439258132196,5.59119824047377,5.22655813912428,4.89593104012501,4.59539995695892
0.174,11.5219830595169,10.515064757614,9.62732115716369,8.84171397707642,8.14401118497929,7.52226935788438,6.96642097212005,6.46794356627055,6.01959315581449,5.61518834985175,5.24943469022857,4.9177810622092,4.61630180293408
0.176,11.5621111017278,10.5526271788147,9.66257089559089,8.87487277840497,8.17527413308347,7.5518086573014,6.99438911956188,6.49447602096367,6.0448105968591,5.63919859179302,5.2723343145791,4.93965681196082,4.63723177854469
0.178,11.6022177671969,10.5901761014644,9.69781406595043,8.9080311273462,8.20654204164062,7.58135772185455,7.02237130902882,6.52102633522451,6.07004931416222,5.66323317598099,5.29526103958859,4.96156215040457,4.65819359267462
0.18,11.6423098230405,10.6277178561947,9.73305660856455,8.9411946142081,8.23782018623594,7.61092154342237,7.05037227604205,6.54759901240968,6.09531360038208,5.68729620347836,5.318218791772,4.98350084476299,4.67919086694118
0.182,11.6823938244575,10.6652585795366,9.76830428560437,8.97436866547369,8.26911369153906,7.64050497463678,7.07839662745565,6.57419843682848,6.12060763790141,5.71139167309288,5.34121140274269,5.00547657411622,4.70022714104806
0.184,11.7224761261238,10.7028042244231,9.8035626907978,9.00755855279868,8.3004275396652,7.67011273667248,7.10644884873097,6.60082888055232,6.14593550521625,5.73552348738495,5.36424261487365,5.027492934748,4.72130587784411
0.186,11.7625628929223,10.7403605700807,9.83883725857536,9.04076940149057,8.33176657805702,7.69974942659224,7.13453331079882,6.62749450984083,6.17130118296761,5.75969545834168,5.3873160866469,5.04955344519975,4.74243046810823
0.188,11.8026601100516,10.7779332313529,9.87413327269243,9.07400619850507,8.36313552692026,7.72941952427881,7.16265427653783,6.65419939121098,6.19670855964048,5.78391131274056,5.41043539771272,5.07166155105294,4.76360423507965
0.19,11.8427735925581,10.8155276674926,9.90945587436393,9.10727379999265,8.3945389862435,7.75912739898163,7.19081590689531,6.68094749717364,6.22216143695299,5.80817469722393,5.43360405367849,5.09382062945833,4.78483043875083
0.192,11.8829089943293,10.8531491904612,9.94481006994428,9.14057693842574,8.42598144243024,7.78887731550436,7.21902226667458,6.70774271166006,6.24766353495666,5.83248918310375,5.45682549064556,5.11603399342936,4.80611227993927
0.194,11.9230718165855,10.8908029727662,9.9802007381832,9.17392022933466,8.45746727456931,7.81867344005727,7.24727733001136,6.73458883515908,6.27321849686719,5.85685827091511,5.48010307951111,5.13830489591563,4.8274529041533
0.196,11.9632674159018,10.928494054869,10.0156326370855,9.20730817767835,8.48900076036762,7.84851984579696,7.27558498555985,6.7614895895844,6.29882989364378,5.88128539473493,5.50344013005089,5.16063653367122,4.84885540526566
0.198,12.0035010117935,10.96622735219,10.0511104104011,9.24074518387385,8.52058608176752,7.87842051807386,7.30394904140758,6.78844862288978,6.32450122833371,5.9057739262818,5.5268398947972,5.18303205093173,4.87032282900787
0.2,12.0437776938911,11.0040076617395,10.0866385937694,9.27423554950717,8.55222733026954,7.90837935940687,7.33237322973711,6.81546951344869,6.35023594019755,5.93032717881119,5.55030557272595,5.20549454291246,4.89185817629722
0.202,12.0841024287332,11.0418396683954,10.1222216205401,9.30778348274575,8.58392851197948,7.93840019420263,7.36086121125069,6.84255577421378,6.37603740862938,5.95494841081951,5.57384031276522,5.22802705913995,4.91346440640766
0.204,12.1244800662019,11.0797279508542,10.1578638272923,9.34139310347224,8.61569355239771,7.96848677323611,7.38941657937357,6.86971085667059,6.4019089568854,5.97964082956956,5.59744721713696,5.25063260662749,4.9351444399949
0.206,12.164915345622,11.1176769872728,10.1935694590696,9.37506844815702,8.64752630096717,7.99864277790779,7.41804286424993,6.8969381545985,6.4278538556333,6.00440759444894,5.62112934454299,5.27331415290512,4.95690116198524
