a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60,T_65
0.08,11.3257766057708,11.3185641674856,11.3097075913649,11.2990971167121,11.2866220298091,11.2721714784305,11.2556353141277,11.2369049549109,11.2158742604611,11.192440411561,11.1665047850707,11.1379738154938
0.082,11.351885861707,11.3451100432387,11.3367230689173,11.3266179357754,11.3146866293952,11.3008209099385,11.2849131248851,11.2668570414685,11.2465486913329,11.2238872195311,11.1987757296456,11.1711221165543
0.084,11.3780182760368,11.3716665823318,11.3637350387345,11.3541192969831,11.3427139444402,11.3294132633554,11.3141120158183,11.2967062477188,11.2770941046073,11.2551766519688,11.2308586921139,11.2040495696491
0.086,11.4041801692318,11.3982410592088,11.3907518406028,11.3816107231189,11.3707148040925,11.357960802562,11.343245818054,11.3264681077028,11.307527874936,11.2863280626046,11.262775143153,11.2367798981986
0.088,11.430377357451,11.4248401596132,11.4177811314398,11.4091009496681,11.398699135096,11.3864747629193,11.3723271968396,11.3561568408514,11.3378659022519,11.3173591590939,11.2945447250351,11.2693348043375
0.09,11.4566152089425,11.451470046258,11.4448299612821,11.4365980122142,11.4266760617243,11.4149654648933,11.401367780022,11.3857854964793,11.3681227734252,11.348286182945,11.3261854508849,11.3017341884914
0.092,11.4828986931405,11.4781364159984,11.4719048394492,11.464109322552,11.4546539928297,11.4434424130512,11.430378270014,11.4153660797451,11.3983119032249,11.3791240664668,11.3577138785527,11.3339963410578
0.094,11.5092324235402,11.5048445497645,11.499011792338,11.4916417351819,11.4826406979065,11.4719143825819,11.4593685416734,11.444909661792,11.4284456576162,11.4098865700917,11.3891452628011,11.3661381102426
0.096,11.5356206952521,11.5315993563026,11.5261564140573,11.5192016055761,11.5106433737536,11.5003894951395,11.488347728123,11.4744264763431,11.4585354619222,11.4405864028798,11.4204936888959,11.3981750494445
0.098,11.5620675179919,11.558405410604,11.5533439109185,11.5467948413828,11.5386687030663,11.5288752855169,11.5173242962104,11.5039260046563,11.4885918959773,11.4712353285607,11.4517721902029,11.4301215470379
0.1,11.5885766451424,11.5852669877608,11.5805791406354,11.5744269475466,11.5667229060764,11.5573787604189,11.5463061130407,11.5334170504451,11.5186247780641,11.5018442591009,11.4829928519822,11.4619909409615
0.102,11.6151515994225,11.6121880928723,11.6078666469562,11.602103066176,11.5948117861855,11.5859064504082,11.5753005047904,11.5629078061226,11.5486432391457,11.5324233374762,11.5141669032344,11.4937956201489
0.104,11.6417956956187,11.6391724875308,11.6352106903359,11.6298280118576,11.6229407703926,11.614464455932,11.6043143088301,11.5924059115208,11.5786557886816,11.5629820110774,11.5453047981763,11.5255471145337
0.106,11.6685120607656,11.6662237133356,11.6626152751701,11.6576063030135,11.6511149451967,11.6430584882045,11.6333539200288,11.6219185060645,11.6086703731206,11.5935290969638,11.5764162886871,11.5572561751034
0.108,11.6953036521033,11.6933451128189,11.6900841740329,11.6854421898131,11.6793390885575,11.6716939056037,11.6624253319848,11.6514522752385,11.6386944280045,11.6240728400035,11.6075104888741,11.5889328452649
0.11,11.7221732730942,11.7205398481106,11.7176209492973,11.7133396790711,11.707617698409,11.700375746149,11.691534173822,11.6810134920624,11.6687349244857,11.6546209647908,11.6385959327409,11.6205865246032
0.112,11.7491235877407,11.7478109176234,11.7452289724632,11.7413025565093,11.7359550181558,11.7291087565433,11.7206857430987,11.7106080541918,11.6987984109442,11.685180722104,11.6696806258048,11.6522260259643
0.114,11.7761571334117,11.7751611710005,11.7729114414738,11.769334406701,11.7643550595173,11.7578974181991,11.7498850353026,11.7402415171737,11.7288910502997,11.715758930566,11.7007720913923,11.6838596266663
0.116,11.8032763323565,11.8025933225339,11.8006713962607,11.7974386309767,11.7928216230393,11.7867459706077,11.7791367703383,11.7699191243167,11.7590186535291,11.746362014075,11.7318774122439,11.7154951145311
0.118,11.8304835020619,11.8301099632344,11.8285117327267,11.8256184635322,11.8213583165462,11.8156584323649,11.8084454163602,11.7996458335707,11.7891867098346,11.7769960355,11.7630032679751,11.7471398293409
0.12,11.857780864587,11.8577135717098,11.8564352153488,11.8538769859453,11.8499685717724,11.8446386201233,11.837815211259,11.8294263417627,11.819400413847,11.8076667270709,11.7941559688678,11.7788007002418
0.122,11.885170554992,11.8854065239872,11.8844444885573,11.8822171402854,11.8786556593814,11.8736901657082,11.867250182066,11.8592651064877,11.8496646902009,11.8383795178362,11.8253414864069,11.8104842795515
0.124,11.9126546289634,11.9131911023986,11.9125420870301,11.9106417409714,11.9074227025517,11.9028165316011,11.8967541625102,11.8891663659159,11.8799842157739,11.8691395585145,11.8565654809237,11.842196773369
0.126,11.9402350697252,11.941069503633,11.9407304450199,11.9391534855174,11.9362726892889,11.9320210249726,11.92633080893,11.9191341567465,11.9103634398464,11.8999517440254,11.8878333266607,11.8739440693345
0.128,11.9679137943126,11.9690438460465,11.969011904823,11.9677549642876,11.9652084836021,11.9613068104205,11.9559836147182,11.9491723305083,11.9408066024065,11.9308207339498,11.9191501345378,11.905731761848
0.13,11.9956926592782,11.9971161763096,11.997388724478,11.9964486693651,11.9942328356654,11.9906769215523,11.9857159234571,11.9792845683816,11.9713177507979,11.9617509711403,11.9505207728614,11.9375651750117
0.132,12.0235734658891,12.025288475461,12.0258630847787,12.0252370026294,12.0233483910727,12.0201342715336,12.0155309408817,12.0094743946995,12.0019007548833,11.9927466986743,11.9819498861927,11.9694493835375
0.134,12.0515579648705,12.0535626644321,12.0544370956711,12.0541222831244,12.0525576992787,12.0496816627094,12.0454317457911,12.0397451892632,12.0325593208782,12.0238119753207,12.0134419125636,12.0013892318254
0.136,12.0796478607393,12.0819406090937,12.0831128020977,12.0831067537897,12.0818632213111,12.0793217953939,12.0754213000168,12.070100198592,12.0632970039892,12.0549506896727,12.0450010992088,12.0333893513999
0.138,12.1078448157721,12.1104241248756,12.1118921893462,12.1121925876193,12.1112673368253,12.1090572759113,12.1055024575428,12.1005425462172,12.094117219977,12.0861665730784,12.0766315169616,12.0654541768675
0.14,12.1361504536422,12.1390149810003,12.1407771879503,12.1413818933054,12.1407723505691,12.1388906239639,12.1356779728607,12.1310752421124,12.1250232557513,12.1174632114892,12.108337073446,12.0975879605407
0.142,12.1645663627591,12.1677149043695,12.1697696781881,12.1706767204167,12.1703804983141,12.1688242793908,12.1659505086356,12.1617011913456,12.1560182790914,12.1488440563313,12.1401215251817,12.1297947858591
0.144,12.1930940993398,12.1965255831371,12.1988714942168,12.200079064158,12.2000939523062,12.1988606083795,12.196322642749,12.1924232020285,12.1871053475762,12.1803124344935,12.1719884887062,12.1620785797214
0.146,12.2217351902366,12.2254486699983,12.2280844278778,12.2295908697497,12.2299148262803,12.2290019091795,12.2267968747783,12.2232439926293,12.2182874168006,12.2118715575169,12.2039414508077,12.1944431238316
0.148,12.2504911355452,12.2544857852225,12.2574102322044,12.2592140364636,12.2598451800812,12.2592504173667,12.2573756319654,12.2541661987086,12.2495673479425,12.2435245300582,12.235983777951,12.2268920651526
0.15,12.2793634110138,12.2836385194532,12.2868506246596,12.2889504213479,12.2898870239266,12.2896083106997,12.2880612747229,12.2851923791328,12.2809479147432,12.2752743576973,12.2681187249719,12.2594289255472
0.152,12.308353470271,12.3129084362966,12.3164072901282,12.318801842668,12.3200423223462,12.3200777136054,12.3188561017184,12.3163250218121,12.3124318099531,12.307123954146,12.3003494431052,12.2920571106822
0.154,12.3374627468897,12.3422970747186,12.3460818836863,12.3487700830914,12.3503129978244,12.3506607013283,12.3497623545777,12.347566549006,12.3440216512912,12.3390761479138,12.3326789874089,12.3247799182612
0.156,12.3666926563013,12.3718059512669,12.3758760331683,12.3788568926376,12.3807009341757,12.381359303772,12.3807822222382,12.3789193222354,12.3757199869625,12.3711336884776,12.3651103236343,12.3576005456448
0.158,12.3960445975737,12.4014365621343,12.4057913415486,12.4090639914151,12.4112079796738,12.4121755090622,12.411917844986,12.4103856468358,12.4075293007713,12.4032992520004,12.397646334595,12.3905220969133
0.16,12.4255199550653,12.4311903850764,12.4358293891557,12.4393930721642,12.4418359499591,12.443111266854,12.4431713182021,12.4419677761829,12.4394520168666,12.4355754466372,12.4302898260743,12.4235475894193
0.162,12.4551200999656,12.4610688811972,12.4659917357312,12.469845802621,12.4725866307398,12.4741684914058,12.4745446958445,12.4736679156188,12.4714905041498,12.4679648174632,12.463043532314,12.4566799598734
