a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60,T_65,T_70
0.136,13.5199585887271,13.5197801097591,13.5188038433421,13.5169952987124,13.5143195003797,13.510741217143,13.5062251863497,13.5007363323515,13.4942399781837,13.4867020495713,13.4780892704401,13.4683693491894,13.4575111550647
0.138,13.5502461206273,13.55025967542,13.549482442299,13.5478807221663,13.5454203180906,13.5420667609361,13.537785530188,13.5325422689667,13.5263029922886,13.5190342877095,13.5107035075607,13.5012789520633,13.4907300426851
0.14,13.5806492602547,13.5808533702891,13.5802734081619,13.5788764515762,13.5766290676094,13.5734975350833,13.5694480620876,13.5644469976784,13.5584610368473,13.5514574179249,13.543404111659,13.534270001283,13.5240250529632
0.142,13.6111695159891,13.611562811362,13.6111784774474,13.6099843545408,13.6079477598109,13.6050357065355,13.601215118445,13.5964530382284,13.5907168293301,13.5839743702298,13.5761942404761,13.5673458978149,13.5573998458295
0.144,13.6418083682425,13.6423895822576,13.6421993472816,13.6412062526154,13.6393783522038,13.636683380854,13.6330889655164,13.6285628307155,13.6230729972875,13.6165879736486,13.6090769388907,13.6005099170729,13.5908579421489
0.146,13.6725672719763,13.6733352361122,13.6733376787108,13.672543925083,13.6709227532061,13.6684426070375,13.6650718048447,13.6607787416717,13.6555320851271,13.6493009637465,13.642055147253,13.6337652181088,13.6244027338224
0.148,13.7034476590225,13.7044012982468,13.7045950997529,13.7039991124283,13.7025828260837,13.7003153819683,13.6971657782569,13.6931030696575,13.6880965603536,13.6821159895627,13.6751317090584,13.6671148520764,13.6580374930887
0.15,13.7344509402279,13.73558926863,13.7359732082138,13.7355735195445,13.7343603925845,13.7323036545136,13.7293729724745,13.7255380504229,13.720768819324,13.7150356200028,13.708309378023,13.7005617700345,13.6917653811004
0.152,13.7655785074379,13.7669006241557,13.7674735742907,13.7672688186952,13.7662572362954,13.7644093293136,13.7616954233701,13.7580858616719,13.7535511925593,13.7480623497404,13.7415908246152,13.7341088301509,13.725589455842
0.154,13.7968317353329,13.7983368207517,13.7990977429812,13.7990866522556,13.7982751057472,13.7966342702843,13.7941351199028,13.7907486274672,13.7864459496564,13.7811986046721,13.7749786420928,13.7677588043598,13.759512679446
0.156,13.8282119831335,13.8298992953348,13.830847236317,13.8310286352527,13.8304157172909,13.8289803038611,13.826694007763,13.8235284223082,13.8194553038331,13.8144467469652,13.8084753520896,13.8015143845227,13.7935379249644
0.158,13.8597205961834,13.861589467626,13.8627235554356,13.8630963577202,13.862680757765,13.8614492220068,13.8593739927494,13.8564272749094,13.8525814161398,13.8478090797355,13.8420834097908,13.835378188135,13.8276679826404
0.16,13.8913589074226,13.8934087418386,13.8947281825066,13.8952913868879,13.8950718869718,13.8940427850031,13.8921769439042,13.8894471717071,13.8858263993672,13.8812878513859,13.8758052087334,13.8693527636199,13.8619055657249
0.162,13.9231282387597,13.9253585082496,13.926862582524,13.9276152692169,13.9275907399809,13.9267627240456,13.9251046964256,13.9225900601168,13.9191923216758,13.9148852596353,13.9096430852644,13.9034405952425,13.8962533158774
0.164,13.9550299023521,13.9574401446646,13.9591282049756,13.9600695322954,13.9602389292725,13.9596107436587,13.9581590543783,13.9558578515628,13.9526812099706,13.9486034552656,13.9435993226839,13.9376441076783,13.9307138081854
0.166,13.9870652018024,13.9896550177861,13.9915264854015,13.9926556866067,13.9930180467358,13.9925885239458,13.9913417932171,13.9892524242998,13.9862950530436,13.9824445456081,13.9776761551027,13.9719656702643,13.965289555835
0.168,14.0192354332772,14.0220044844915,14.0240588468497,14.0253752271795,14.0259296655342,14.0256977226881,14.0246546621411,14.022775626043,14.0200358045023,14.0164105977935,14.0118757710348,14.0064076009592,13.9999830144611
0.17,14.051541886556,14.0544898930311,14.0567267012377,14.058229635132,14.0589753418472,14.0589399773055,14.0580993862917,14.0564292764233,14.053905385502,14.0505036417829,14.0462003167491,14.0409721700366,14.0347965862042
0.172,14.0839858460153,14.08711258415,14.0895314506281,14.0912203791159,14.0921566165017,14.0923169066898,14.0916776688067,14.0902151692808,14.0879056872993,14.0847256731991,14.0806518993988,14.0756616035324,14.0697326234967
0.174,14.1165685915526,14.1198738921414,14.1224744884255,14.1243489166709,14.125475016499,14.1258301129214,14.1253911927432,14.1241350748115,14.1220385736387,14.1190786559734,14.1152325899464,14.1104780864673,14.1047934326012
0.176,14.1492913994566,14.1527751458378,14.1555572004998,14.1576166954961,14.1589320564471,14.1594811828787,14.1592416228791,14.1581907415771,14.1563058829883,14.1535645248232,14.1499444259007,14.1454237658609,14.1399812769199
0.178,14.1821555432275,14.1858176695425,14.188780966244,14.1910251546439,14.1925292399069,14.1932716897483,14.1932306074031,14.1923838983895,14.1907094306347,14.188185187573,14.1847894138809,14.1805007535551,14.1752983800934
0.18,14.21516229435,14.2190027839093,14.2221471595689,14.2245757256443,14.2262680606564,14.2272031944443,14.2273597795018,14.2267162560807,14.2252510106489,14.2229425273324,14.2197695320209,14.2157111288601,14.2107469289049
0.182,14.2483129230255,14.252331806772,14.2556571498427,14.2582698335642,14.2601500038824,14.2612772469439,14.2616307588524,14.2611895091647,14.2599323977331,14.2578384045406,14.2548867322262,14.2510569410388,14.2463290760057
0.184,14.2816086988637,14.2858060539289,14.2893123027771,14.2921088980061,14.294176547303,14.295495387545,14.2960451530274,14.295805337403,14.2947553489576,14.2928746588884,14.290142942295,14.2865402116395,14.2820469424739
0.186,14.3150508915394,14.3194268398856,14.3231139812661,14.3260943340528,14.3283491622278,14.3298591480532,14.3306045588195,14.3305654072776,14.329721605396,14.3280531111277,14.3255400679135,14.3221629366906,14.3179026202213
0.188,14.348640771415,14.3531954785591,14.3570635461796,14.3602275531598,14.3626693145592,14.3643700529015,14.3653105634904,14.3654713733813,14.3648328936664,14.3633755647755,14.3610799945347,14.3579270887663,14.3538981742575
0.19,14.3823796101338,14.3871132839469,14.3911623571173,14.3945099640015,14.3971384657406,14.3990296202104,14.4001647459525,14.4005248797301,14.4000909273861,14.3988438077212,14.3967645891501,14.3938346189332,14.3900356448235
0.192,14.4162686811835,14.4211815707622,14.4254117731225,14.4289429732738,14.4317580736545,14.4338393627906,14.4351686778854,14.4357275610037,14.4354974085456,14.4344596137446,14.4325957019616,14.4298874585869,14.4263170494031
0.194,14.4503092604348,14.4554016550401,14.4598131533636,14.463527986456,14.4665295934748,14.4688007890937,14.4703239247939,14.4710810437193,14.4710540288081,14.4702247439506,14.4685751679607,14.466087521186,14.4627443846225
0.196,14.4845026266556,14.4897748547145,14.4943678577804,14.4982664085359,14.5014544784767,14.5039154041146,14.5056320470109,14.5065869473444,14.5067624707402,14.5061409481266,14.5047048084225,14.5024367038919,14.4993196280446
0.198,14.5188500620024,14.5243024901704,14.5290772477031,14.5331596447002,14.536534180807,14.539184710249,14.5410946006505,14.5422468853524,14.5426244089782,14.5422099660287,14.5409864323204,14.5389368891204,14.5360447398663
0.2,14.5533528524922,14.558985884771,14.5639426864413,14.5682091009935,14.5717701522176,14.5746102081099,14.576713138513,14.5780624662243,14.5786415113356,14.5784335286017,14.5774218376664,14.5755899460111,14.5729216645268
0.202,14.5880122884547,14.5938263653638,14.5989655398489,14.6034161849468,14.6071638447661,14.6101933973043,14.612489210947,14.6140352944029,14.614815439855,14.6148133591375,14.6140128127838,14.6123977318221,14.6099523322303
0.204,14.6228296649669,14.6288252627653,14.6341471768649,14.6387823061798,14.6427167114844,14.6459357771761,14.6484243666707,14.6501669712,14.6511478518089,14.6513511743757,14.6507611375153,14.6493620932527,14.6471386603926
0.206,14.6578062822725,14.6639839122275,14.6694889700314,14.6743088769769,14.6784302070181,14.6818388475142,14.6845201535561,14.6864590956619,14.6876404006531,14.6880486855523,14.6876685843728,14.6864848677021,14.684482555014
0.208,14.692943446185,14.6993036538866,14.7049922959926,14.7099973128405,14.7143057882395,14.7179041092307,14.720778119378,14.7229132653954,14.7242947369358,14.7249075993975,14.7247369196316,14.7237678844655,14.7219859119856
0.21,14.7282424684778,14.7347858331953,14.740658535974,14.7458490330217,14.7503449148354,14.7541330650103,14.7571998125303,14.7595310773573,14.7611125091656,14.7619296190886,14.7619679043738,14.7612129658748,14.7596506183327
0.212,14.7637046672619,14.7704318013404,14.7764890762446,14.7818654610319,14.7865490498712,14.7905272199339,14.7937867827131,14.7963141286096,14.7980953646413,14.7991164451599,14.7993632954836,14.7988219283852,14.7974785533989
